tarih,fonKodu,fonUnvan,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-15,AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),1.599458,201,20269346.86,12672631
2026-09-15,AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,0.353241,35059,987142332.81,2794531219
2026-09-15,AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,3.084476,33,861237075.65,279216621
2026-09-15,AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),0.964797,11,240445108.52,249218342
2026-09-15,AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),0.831045,17,871641.05,1048850
2026-09-15,AP6,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),8.070852,45,769354386.42,95325048
2026-09-15,AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,2.712294,427,196357792.35,72395458
2026-09-15,APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,0,2877,0,0
2026-09-15,APP,AK PORTFÖY P1 SERBEST ÖZEL FON,33.928829,2,58544262.77,1725502
2026-09-15,APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,0.166502,13191,440472824.39,2645454345
